Date	Level
2018-02-19 17:00	59.055555555555557
2018-02-19 18:00	100.0
2018-02-19 19:00	97.892307692307696
2018-02-19 20:00	90.808823529411768
2018-02-19 21:00	76.578947368421055
2018-02-19 22:00	62.220779220779221
2018-02-19 23:00	43.583333333333336
2018-02-20 00:00	37.985294117647058
2018-02-20 08:00	30.372549019607842
2018-02-20 09:00	90.277777777777771
2018-02-20 10:00	67.849462365591393
2018-02-20 11:00	38.411764705882355
2018-02-20 12:00	50.047619047619051
2018-02-20 13:00	95.410714285714292
2018-02-20 15:00	100.0
2018-02-20 23:00	46.0
2018-02-21 00:00	5.8974358974358978
2018-02-21 01:00	9.9838709677419359
2018-02-21 08:00	9.6551724137931032
2018-02-21 10:00	99.976744186046517
2018-02-21 11:00	98.735294117647058
2018-02-21 12:00	96.411764705882348
2018-02-21 13:00	79.184210526315795
2018-02-21 14:00	61.623188405797102
2018-02-21 15:00	52.142857142857146
2018-02-21 16:00	49.448275862068968
2018-02-21 17:00	44.409090909090907
2018-02-21 18:00	31.760000000000002
2018-02-21 20:00	40.530864197530867
2018-02-21 21:00	71.645833333333329
2018-02-21 22:00	49.91011235955056
2018-02-21 23:00	30.37037037037037
2018-02-22 01:00	30.25
2018-02-22 02:00	99.430769230769229
2018-02-22 03:00	100.0
2018-02-22 04:00	100.0
2018-02-22 05:00	100.0
2018-02-22 08:00	99.358974358974365
2018-02-22 10:00	75.698113207547166
2018-02-22 11:00	87.071428571428569
2018-02-22 12:00	93.71052631578948
2018-02-22 13:00	89.476744186046517
2018-02-22 14:00	62.277108433734938
2018-02-22 15:00	44.584070796460175
2018-02-22 16:00	77.828571428571422
2018-02-22 17:00	95.375
2018-02-22 18:00	91.333333333333329
2018-02-22 20:00	85.375
2018-02-22 21:00	52.5
2018-02-23 00:00	64.428571428571431
2018-02-23 08:00	37.39473684210526
2018-02-23 10:00	99.46875
2018-02-23 11:00	83.911111111111111
2018-02-23 12:00	73.915662650602414
2018-02-23 13:00	49.92307692307692
2018-02-23 14:00	30.135802469135804
2018-02-23 15:00	26.666666666666668
2018-02-23 16:00	65.169230769230765
2018-02-23 17:00	70.037037037037038
2018-02-23 18:00	81.615384615384613
2018-02-23 19:00	54.10526315789474
2018-02-23 20:00	48.0
2018-02-23 21:00	43.573529411764703
2018-02-23 22:00	28.841463414634145
2018-02-23 23:00	12.82089552238806
2018-02-24 00:00	27.591549295774648
2018-02-24 01:00	66.971428571428575
2018-02-24 02:00	95.493670886075947
2018-02-24 03:00	100.0
2018-02-24 04:00	100.0
2018-02-24 05:00	100.0
2018-02-24 06:00	100.0
2018-02-24 07:00	100.0
2018-02-24 08:00	100.0
2018-02-24 09:00	100.0
2018-02-24 10:00	100.0
2018-02-24 11:00	90.297297297297291
2018-02-24 12:00	77.405797101449281
2018-02-24 13:00	75.700000000000003
2018-02-24 14:00	93.506849315068493
2018-02-24 15:00	94.439024390243901
2018-02-24 16:00	97.264705882352942
2018-02-24 17:00	97.901639344262293
2018-02-24 18:00	92.132352941176464
2018-02-24 20:00	87.368421052631575
2018-02-24 21:00	79.233333333333334
2018-02-24 22:00	71.858695652173907
2018-02-24 23:00	48.880000000000003
2018-02-25 00:00	42.753846153846155
2018-02-25 01:00	38.482758620689658
2018-02-25 02:00	30.291666666666668
2018-02-25 08:00	36.802816901408448
2018-02-25 10:00	96.333333333333329
2018-02-25 11:00	44.29032258064516
2018-02-25 12:00	29.399999999999999
2018-02-25 13:00	22.235294117647058
2018-02-25 14:00	34.090909090909093
2018-02-25 15:00	19.5625
2018-02-25 16:00	11.275862068965518
2018-02-25 17:00	50.391666666666666
2018-02-25 18:00	73.038461538461533
2018-02-25 20:00	70.054545454545448
2018-02-25 22:00	95.0
2018-02-25 23:00	39.0
2018-02-26 00:00	31.620000000000001
2018-02-26 01:00	29.40909090909091
2018-02-26 08:00	57.405797101449274
2018-02-26 09:00	99.21052631578948
2018-02-26 10:00	87.189873417721515
2018-02-26 11:00	69.13636363636364
2018-02-26 12:00	30.333333333333332
2018-02-26 13:00	32.83098591549296
2018-02-26 14:00	24.347826086956523
2018-02-26 15:00	19.434782608695652
2018-02-26 16:00	3.5714285714285716
2018-02-26 17:00	2.0
2018-02-26 18:00	2.0
2018-02-26 20:00	4.5555555555555554
2018-02-26 21:00	96.027027027027032
2018-02-26 22:00	26.0
2018-02-26 23:00	25.0
2018-02-27 00:00	21.892307692307693
2018-02-27 01:00	16.784615384615385
2018-02-27 02:00	13.365079365079366
2018-02-27 08:00	18.833333333333332
2018-02-27 10:00	99.058823529411768
2018-02-27 11:00	82.666666666666671
2018-02-27 12:00	67.905660377358487
2018-02-27 13:00	49.705882352941174
2018-02-27 14:00	44.161764705882355
2018-02-27 15:00	36.854838709677416
2018-02-27 17:00	28.0
2018-02-27 20:00	16.705882352941178
2018-02-28 08:00	47.333333333333336
